You can use this transaction report to inform your likely tax obligations. For US customers, Sells, Converts, Rewards Income, Learning Rewards, and Donations are taxable events. For final tax obligations, please consult your tax advisor.



Transactions
User,fredrikbo564@gmail.com,5a09f7d7c1d7a000d411dc2f

Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
"2018-01-03T17:54:03Z,Send,BTC,0.10103709,USD,15066.99,"""","""","""",Sent 0.10103709 BTC to 3NdGYYaWJ5QWZpCooTXSEXqBnrEjDLy9V2"
2018-01-15T23:44:24Z,Buy,BTC,0.04349676,USD,13893.81,604.34,613.34,9.00,Bought 0.04349676 BTC for $613.34 USD
2018-01-16T07:12:18Z,Buy,BTC,0.04471086,USD,13521.36,604.55,613.56,9.01,Bought 0.04471086 BTC for $613.56 USD
2018-01-16T12:06:19Z,Buy,BTC,0.00929342,USD,12809.35,119.04,122.71,3.67,Bought 0.00929342 BTC for $122.71 USD
2018-01-16T21:39:08Z,Sell,BTC,0.09457819,USD,10379.71,981.69,967.07,14.62,Sold 0.09457819 BTC for $967.07 USD
2018-01-16T23:29:51Z,Buy,BTC,0.0619737,USD,11705.93,725.46,736.27,10.81,Bought 0.0619737 BTC for $736.27 USD
"2018-03-06T15:07:39Z,Send,BTC,0.11360184,USD,10978.26,"""","""","""",Sent 0.11360184 BTC to 1797gWJ1QFEpmq8kc6c7VyJPrszEPZPtcn"
"2020-12-02T23:14:35Z,Receive,BTC,0.66299106,USD,19136.70,"""","""","""",Received 0.66299106 BTC from an external account"
"2020-12-03T20:47:45Z,Sell,BTC,0.66299106,USD,19242.12,12757.35,12567.26,190.09,""Sold 0.66299106 BTC for $12,567.26 USD"""
2018-01-17T13:47:37Z,Buy,ETH,0.80211851,USD,879.92,705.80,716.31,10.51,Bought 0.80211851 ETH for $716.31 USD
"2018-02-27T22:17:11Z,Send,ETH,0.80211851,USD,879.99,"""","""","""",Sent 0.80211851 ETH to 0x6065b9d2a1577ce66483e5a394403f48e1ac801e"
"2018-04-24T15:59:43Z,Buy,ETH,5.12101285,USD,706.37,3617.33,3671.22,53.89,""Bought 5.12101285 ETH for $3,671.22 USD"""
"2018-04-24T16:11:11Z,Send,ETH,3.428697,USD,700.00,"""","""","""",Sent 3.428697 ETH to 0xba1408f3d52b16c801958e9657e6613d33d11be3"
"2018-04-26T19:04:00Z,Send,ETH,1.69231585,USD,630.51,"""","""","""",Sent 1.69231585 ETH to 0xba1408f3d52b16c801958e9657e6613d33d11be3"
"2018-05-03T21:15:03Z,Buy,ETH,3.09908821,USD,762.35,2362.58,2397.78,35.20,""Bought 3.09908821 ETH for $2,397.78 USD"""
"2018-05-03T21:18:04Z,Send,ETH,3.09908821,USD,755.44,"""","""","""",Sent 3.09908821 ETH to 0x6d4cBF7e73938677a7035B2C8F78065b220B5768"
